;LOGIC AND PHILOSOPHY OF LOGIC;MATHEMATICS;COMPUTER SCIENCE;ASTRONOMY AND ASTROPHYSICS;PHYSICS;CHEMISTRY;LIFE SCIENCES;EARTH SCIENCES;AGRICULTURAL SCIENCES;HEALTH SCIENCES;TECH SCIENCES AND ENGINEERING;ANTHROPOLOGY;DEMOGRAPHY;ECONOMIC SCIENCES;_HISTORY;LEGAL SCIENCES;LINGUISTICS;EDUCATION AND EDUCATION SCIENCE;POLITICAL SCIENCES;PSYCHOLOGY;ARTS AND LETTERS;SOCIOLOGY;ΕTHICS;PHILOSOPHY;THEOLOGY
0;0,009;0,088;0,219;0,114;0,12;0,049;0,003;0,017;0,004;0,02;0,27;0,0;0,056;0,005;0,0;0,005;0,011;0,003;0,005;0,003;0,0;0,0;0,0;0,0;0,0
1;0,003;0,414;0,08;0,069;0,028;0,023;0,0;0,006;0,005;0,017;0,114;0,002;0,023;0,055;0,001;0,036;0,083;0,016;0,0;0,006;0,013;0,003;0,004;0,001;0,0
2;0,007;0,297;0,405;0,02;0,023;0,015;0,04;0,0;0,014;0,009;0,053;0,001;0,015;0,035;0,005;0,003;0,019;0,009;0,0;0,016;0,0;0,012;0,001;0,001;0,0
3;0,026;0,104;0,043;0,015;0,042;0,174;0,269;0,017;0,028;0,133;0,051;0,0;0,031;0,041;0,0;0,003;0,004;0,0;0,0;0,015;0,003;0,001;0,0;0,0;0,0
4;0,0;0,035;0,014;0,281;0,092;0,052;0,001;0,05;0,006;0,003;0,312;0,002;0,031;0,036;0,0;0,017;0,013;0,001;0,045;0,0;0,002;0,003;0,0;0,001;0,0
5;0,002;0,027;0,022;0,049;0,002;0,03;0,13;0,163;0,076;0,014;0,173;0,016;0,038;0,047;0,028;0,028;0,001;0,025;0,024;0,001;0,004;0,091;0,001;0,005;0,004
6;0,007;0,681;0,036;0,081;0,033;0,012;0,002;0,004;0,003;0,003;0,017;0,016;0,007;0,012;0,005;0,016;0,0;0,004;0,005;0,002;0,005;0,025;0,015;0,006;0,0
7;0,003;0,107;0,004;0,071;0,034;0,028;0,042;0,003;0,033;0,356;0,095;0,001;0,003;0,042;0,017;0,086;0,003;0,027;0,001;0,007;0,008;0,001;0,004;0,025;0,002
8;0,0;0,085;0,253;0,044;0,009;0,025;0,004;0,011;0,01;0,007;0,311;0,002;0,111;0,028;0,001;0,002;0,008;0,0;0,031;0,007;0,021;0,015;0,013;0,0;0,0
9;0,0;0,081;0,01;0,009;0,013;0,007;0,001;0,002;0,004;0,027;0,079;0,042;0,033;0,143;0,098;0,161;0,001;0,024;0,184;0,003;0,008;0,044;0,017;0,001;0,008
10;0,0;0,323;0,0;0,05;0,037;0,084;0,014;0,007;0,016;0,024;0,091;0,002;0,101;0,076;0,002;0,038;0,023;0,029;0,0;0,041;0,012;0,021;0,001;0,006;0,0
11;0,0;0,167;0,094;0,058;0,015;0,011;0,056;0,002;0,0;0,004;0,058;0,0;0,167;0,364;0,0;0,0;0,0;0,0;0,001;0,002;0,0;0,001;0,0;0,0;0,0
12;0,0;0,074;0,107;0,015;0,007;0,017;0,033;0,038;0,102;0,149;0,114;0,041;0,0;0,205;0,004;0,011;0,0;0,064;0,001;0,0;0,005;0,001;0,006;0,0;0,007
13;0,228;0,281;0,014;0,03;0,046;0,027;0,007;0,001;0,003;0,028;0,027;0,02;0,003;0,166;0,024;0,021;0,005;0,0;0,021;0,002;0,001;0,003;0,025;0,006;0,01
14;0,018;0,066;0,187;0,261;0,057;0,052;0,022;0,004;0,016;0,011;0,136;0,003;0,008;0,042;0,005;0,006;0,017;0,01;0,0;0,009;0,067;0,002;0,0;0,002;0,0
15;0,0;0,053;0,318;0,001;0,105;0,014;0,003;0,005;0,009;0,003;0,359;0,012;0,009;0,027;0,001;0,002;0,007;0,0;0,0;0,009;0,046;0,01;0,004;0,0;0,002
16;0,02;0,035;0,087;0,012;0,009;0,004;0,012;0,009;0,025;0,081;0,011;0,003;0,013;0,023;0,024;0,019;0,062;0,339;0,031;0,023;0,009;0,026;0,021;0,032;0,069
17;0,002;0,707;0,01;0,051;0,032;0,025;0,007;0,002;0,002;0,003;0,007;0,0;0,038;0,076;0,013;0,003;0,0;0,0;0,0;0,001;0,0;0,019;0,0;0,0;0,0
18;0,002;0,046;0,01;0,008;0,016;0,05;0,201;0,002;0,016;0,488;0,077;0,0;0,027;0,007;0,004;0,006;0,004;0,013;0,0;0,015;0,002;0,001;0,004;0,0;0,0
19;0,013;0,096;0,002;0,122;0,046;0,057;0,043;0,03;0,007;0,109;0,086;0,061;0,202;0,015;0,003;0,038;0,0;0,0;0,001;0,022;0,013;0,001;0,0;0,032;0,001
20;0,0;0,016;0,003;0,023;0,001;0,011;0,022;0,002;0,054;0,019;0,057;0,011;0,029;0,411;0,027;0,125;0,003;0,036;0,06;0,005;0,006;0,064;0,003;0,003;0,008
21;0,0;0,168;0,063;0,106;0,056;0,204;0,025;0,006;0,005;0,035;0,105;0,04;0,083;0,051;0,0;0,003;0,008;0,01;0,004;0,0;0,0;0,025;0,0;0,001;0,001
22;0,0;0,1;0,467;0,037;0,03;0,003;0,005;0,005;0,008;0,042;0,112;0,0;0,008;0,076;0,0;0,0;0,001;0,018;0,035;0,0;0,0;0,018;0,018;0,018;0,0
23;0,014;0,161;0,104;0,06;0,009;0,021;0,011;0,013;0,001;0,028;0,028;0,013;0,05;0,077;0,027;0,054;0,112;0,009;0,024;0,029;0,02;0,03;0,045;0,045;0,015
24;0,0;0,087;0,003;0,035;0,163;0,16;0,012;0,061;0,003;0,052;0,343;0,01;0,003;0,014;0,002;0,025;0,003;0,0;0,001;0,001;0,007;0,002;0,0;0,014;0,0
25;0,0;0,033;0,017;0,007;0,007;0,1;0,15;0,016;0,185;0,1;0,219;0,006;0,003;0,059;0,001;0,011;0,0;0,006;0,003;0,049;0,0;0,025;0,001;0,001;0,002
26;0,051;0,023;0,305;0,019;0,011;0,009;0,007;0,013;0,009;0,012;0,195;0,005;0,004;0,059;0,01;0,032;0,046;0,001;0,072;0,013;0,007;0,044;0,003;0,051;0,0
27;0,0;0,353;0,136;0,043;0,115;0,039;0,015;0,001;0,015;0,005;0,185;0,005;0,007;0,024;0,004;0,011;0,001;0,026;0,0;0,0;0,007;0,002;0,002;0,002;0,0
28;0,007;0,046;0,007;0,027;0,011;0,018;0,019;0,001;0,0;0,198;0,032;0,002;0,048;0,099;0,002;0,074;0,033;0,067;0,007;0,2;0,001;0,057;0,008;0,004;0,032
29;0,001;0,061;0,0;0,007;0,016;0,019;0,047;0,025;0,064;0,334;0,174;0,011;0,017;0,049;0,011;0,011;0,001;0,078;0,001;0,043;0,002;0,001;0,023;0,001;0,003
30;0,016;0,055;0,035;0,151;0,315;0,111;0,009;0,008;0,004;0,024;0,183;0,0;0,032;0,032;0,0;0,008;0,003;0,0;0,003;0,0;0,0;0,007;0,001;0,003;0,0
31;0,01;0,012;0,001;0,012;0,009;0,0;0,011;0,009;0,007;0,061;0,018;0,15;0,053;0,014;0,086;0,055;0,015;0,027;0,059;0,013;0,035;0,197;0,071;0,042;0,033
32;0,007;0,683;0,01;0,033;0,064;0,058;0,001;0,018;0,001;0,01;0,031;0,001;0,006;0,017;0,007;0,005;0,0;0,006;0,0;0,012;0,0;0,031;0,0;0,001;0,0
33;0,0;0,028;0,064;0,02;0,0;0,021;0,04;0,006;0,073;0,039;0,246;0,002;0,053;0,065;0,018;0,035;0,008;0,067;0,007;0,046;0,004;0,148;0,007;0,004;0,0
34;0,001;0,032;0,009;0,038;0,103;0,044;0,013;0,023;0,006;0,053;0,06;0,005;0,109;0,3;0,011;0,016;0,006;0,021;0,013;0,085;0,005;0,036;0,003;0,0;0,01
